"","X","team","pf","pa","pt_diff","team_logo_espn","team_wordmark","team_color","team_color2"
"1",1,"WAS",329,518,-189,"https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/WAS.png","#5A1414","#FFB612"
"2",2,"NYJ",268,355,-87,"https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NYJ.png","#003F2D","#000000"
"3",3,"ATL",321,373,-52,"https://a.espncdn.com/i/teamlogos/nfl/500/atl.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ATL.png","#A71930","#000000"
"4",4,"CLE",396,362,34,"https://a.espncdn.com/i/teamlogos/nfl/500/cle.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CLE.png","#FF3C00","#311D00"
"5",5,"NYG",266,407,-141,"https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NYG.png","#0B2265","#A71930"
"6",6,"KC",371,294,77,"https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/KC.png","#E31837","#FFB612"
"7",7,"CHI",360,379,-19,"https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CHI.png","#0B162A","#E64100"
"8",8,"BAL",483,280,203,"https://a.espncdn.com/i/teamlogos/nfl/500/bal.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/BAL.png","#241773","#9E7C0C"
"9",9,"IND",396,415,-19,"https://a.espncdn.com/i/teamlogos/nfl/500/ind.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/IND.png","#002C5F","#a5acaf"
"10",10,"SEA",364,402,-38,"https://a.espncdn.com/i/teamlogos/nfl/500/sea.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SEA.png","#002244","#69be28"
"11",11,"DEN",357,413,-56,"https://a.espncdn.com/i/teamlogos/nfl/500/den.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DEN.png","#002244","#FB4F14"
"12",12,"LAC",346,398,-52,"https://a.espncdn.com/i/teamlogos/nfl/500/lac.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LAC.png","#007BC7","#ffc20e"
"13",13,"NE",236,366,-130,"https://a.espncdn.com/i/teamlogos/nfl/500/ne.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NE.png","#002244","#C60C30"
"14",14,"PIT",304,324,-20,"https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/PIT.png","#000000","#FFB612"
"15",15,"MIN",344,362,-18,"https://a.espncdn.com/i/teamlogos/nfl/500/min.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/MIN.png","#4F2683","#FFC62F"
"16",16,"NO",402,327,75,"https://a.espncdn.com/i/teamlogos/nfl/500/no.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NO.png","#D3BC8D","#000000"
"17",17,"CIN",366,384,-18,"https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CIN.png","#FB4F14","#000000"
"18",18,"TB",348,325,23,"https://a.espncdn.com/i/teamlogos/nfl/500/tb.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/TB.png","#A71930","#322F2B"
"19",19,"HOU",377,353,24,"https://a.espncdn.com/i/teamlogos/nfl/500/hou.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/HOU.png","#03202F","#A71930"
"20",20,"JAX",377,371,6,"https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/JAX.png","#006778","#000000"
"21",21,"TEN",305,367,-62,"https://a.espncdn.com/i/teamlogos/nfl/500/ten.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/TEN.png","#002244","#4B92DB"
"22",22,"BUF",451,311,140,"https://a.espncdn.com/i/teamlogos/nfl/500/buf.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/BUF.png","#00338D","#C60C30"
"23",23,"PHI",433,428,5,"https://a.espncdn.com/i/teamlogos/nfl/500/phi.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/PHI.png","#004C54","#A5ACAF"
"24",24,"CAR",236,416,-180,"https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CAR.png","#0085CA","#000000"
"25",25,"ARI",330,455,-125,"https://a.espncdn.com/i/teamlogos/nfl/500/ari.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ARI.png","#97233F","#000000"
"26",26,"DAL",509,315,194,"https://a.espncdn.com/i/teamlogos/nfl/500/dal.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DAL.png","#002244","#B0B7BC"
"27",27,"DET",461,395,66,"https://a.espncdn.com/i/teamlogos/nfl/500/det.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DET.png","#0076B6","#B0B7BC"
"28",28,"LA",404,377,27,"https://a.espncdn.com/i/teamlogos/nfl/500/lar.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LA.png","#003594","#FFD100"
"29",29,"MIA",496,391,105,"https://a.espncdn.com/i/teamlogos/nfl/500/mia.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/MIA.png","#008E97","#F58220"
"30",30,"GB",383,350,33,"https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/GB.png","#203731","#FFB612"
"31",31,"SF",491,298,193,"https://a.espncdn.com/i/teamlogos/nfl/500/sf.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SF.png","#AA0000","#B3995D"
"32",32,"LV",332,331,1,"https://a.espncdn.com/i/teamlogos/nfl/500/lv.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LV.png","#000000","#A5ACAF"
